=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.22 17:18:31 =~=~=~=~=~=~=~=~=~=~=~=,,,,
Adafruit DS3502 Test,,,,
Couldn't find DS3502 chip,,,,
Found DS3502 chip,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
88.8,0.95,2.46,469.21,393.27
89,0.94,2.52,478.98,386.1
89.2,0.96,2.44,478.98,396.28
89.4,0.95,2.4,478.98,397.64
89.6,0.94,2.44,469.21,392.41
89.8,0.96,2.5,449.66,391.99
90,0.95,2.44,488.76,394.35
90.2,0.95,2.47,488.76,392.2
90.4,0.93,2.48,469.21,387.28
90.6,0.95,2.44,488.76,394.35
90.8,0.97,2.46,478.98,397.11
91,0.95,2.46,498.53,393.27
91.2,0.94,2.47,498.53,390.27
91.4,0.95,2.47,518.08,392.2
91.6,0.95,2.51,488.76,389.04
91.8,0.94,2.46,508.31,391.34
92,0.94,2.5,469.21,388.17
92.2,0.95,2.46,488.76,393.27
92.4,0.95,2.47,469.21,392.2
92.6,0.97,2.46,498.53,397.11
92.8,0.95,2.43,488.76,395.44
93,0.92,2.46,469.21,387.44
93.2,0.96,2.42,459.43,398.47
93.4,0.95,2.47,449.66,392.2
93.6,0.96,2.5,459.43,391.99
93.8,0.95,2.42,439.88,396.53
94,0.96,2.43,439.88,397.37
94.2,0.92,2.47,439.88,386.39
94.4,0.97,2.5,430.11,393.89
94.6,0.95,2.51,469.21,389.04
94.8,0.94,2.5,459.43,388.17
95,0.95,2.47,439.88,392.2
95.2,0.95,2.47,459.43,392.2
95.4,0.94,2.48,478.98,389.22
95.6,0.93,2.46,469.21,389.4
95.8,0.96,2.48,488.76,393.05
96,0.95,2.55,488.76,385.96
96.2,0.96,2.48,498.53,393.05
96.4,0.96,2.48,478.98,393.05
96.6,0.94,2.47,508.31,390.27
96.8,0.95,2.47,488.76,392.2
97,0.96,2.47,498.53,394.12
97.2,0.96,2.5,498.53,391.99
97.4,0.95,2.48,508.31,391.14
97.6,0.93,2.44,488.76,390.46
97.8,0.95,2.46,488.76,393.27
98,0.97,2.48,537.63,394.95
98.2,0.95,2.56,498.53,384.95
98.4,0.94,2.46,488.76,391.34
98.6,0.96,2.5,518.08,391.99
98.8,0.95,2.54,508.31,386.98
99,0.95,2.51,508.31,389.04
99.2,0.94,2.47,518.08,390.27
99.4,0.95,2.42,518.08,396.53
99.6,0.95,2.48,527.86,391.14
99.8,0.96,2.48,527.86,393.05
100,0.95,2.44,537.63,394.35
100.2,0.97,2.47,518.08,396.03
100.4,0.95,2.42,518.08,396.53
100.6,0.96,2.42,527.86,398.47
100.8,0.95,2.47,518.08,392.2
101,0.96,2.47,527.86,394.12
101.2,0.95,2.55,537.63,385.96
101.4,0.96,2.51,547.41,390.94
101.6,0.95,2.48,537.63,391.14
101.8,0.96,2.44,547.41,396.28
102,0.95,2.42,547.41,396.53
102.2,0.95,2.47,557.18,392.2
102.4,0.94,2.47,557.18,390.27
102.6,0.94,2.48,547.41,389.22
102.8,0.96,2.5,537.63,391.99
103,0.93,2.47,527.86,388.34
103.2,0.95,2.47,547.41,392.2
103.4,0.96,2.46,557.18,395.19
103.6,0.95,2.43,537.63,395.44
103.8,0.94,2.47,518.08,390.27
104,0.97,2.47,557.18,396.03
104.2,0.96,2.44,566.96,396.28
104.4,0.96,2.48,527.86,393.05
104.6,0.95,2.46,527.86,393.27
104.8,0.93,2.46,527.86,389.4
105,0.96,2.52,547.41,389.9
105.2,0.97,2.48,557.18,394.95
105.4,0.96,2.46,586.51,395.19
105.6,0.95,2.54,566.96,386.98
105.8,0.96,2.5,566.96,391.99
106,0.96,2.5,518.08,391.99
106.2,0.96,2.47,576.74,394.12
106.4,0.97,2.48,586.51,394.95
106.6,0.95,2.42,576.74,396.53
106.8,0.96,2.48,606.06,393.05
107,0.94,2.44,606.06,392.41
107.2,0.95,2.46,645.16,393.27
107.4,0.94,2.38,596.29,397.91
107.6,0.95,2.52,615.84,388
107.8,0.96,2.51,664.71,390.94
108,0.95,2.52,635.39,388
108.2,0.95,2.44,645.16,394.35
108.4,0.97,2.46,684.26,397.11
108.6,0.94,2.48,684.26,389.22
108.8,0.95,2.44,733.14,394.35
109,0.94,2.47,703.81,390.27
109.2,0.95,2.48,733.14,391.14
109.4,0.96,2.47,772.24,394.12
109.6,0.94,2.46,791.79,391.34
109.8,0.96,2.48,821.11,393.05
110,0.95,2.5,840.66,390.09
110.2,0.95,2.52,869.99,388
110.4,0.97,2.46,879.77,397.11
110.6,0.96,2.44,899.32,396.28
110.8,0.94,2.48,909.09,389.22
111,0.95,2.46,928.64,393.27
111.2,0.97,2.44,928.64,398.2
111.4,0.95,2.5,938.42,390.09
111.6,0.96,2.5,967.74,391.99
111.8,0.94,2.56,967.74,383.05
112,0.94,2.47,977.52,390.27
112.2,0.95,2.52,977.52,388
112.4,0.96,2.56,987.29,386.83
112.6,0.95,2.44,987.29,394.35
112.8,0.95,2.47,987.29,392.2
113,0.95,2.47,1026.39,392.2
113.2,0.95,2.46,1026.39,393.27
113.4,0.96,2.47,1036.17,394.12
113.6,0.95,2.47,1045.94,392.2
113.8,0.95,2.5,1036.17,390.09
114,0.95,2.48,1065.49,391.14
114.2,0.95,2.44,1055.72,394.35
114.4,0.96,2.44,1075.27,396.28
114.6,0.94,2.52,1065.49,386.1
114.8,0.96,2.47,1055.72,394.12
115,0.96,2.46,1085.04,395.19
115.2,0.94,2.51,1094.82,387.13
115.4,0.95,2.48,1075.27,391.14
115.6,0.96,2.44,1094.82,396.28
115.8,0.95,2.44,1104.59,394.35
116,0.95,2.48,1104.59,391.14
116.2,0.94,2.47,1055.72,390.27
116.4,0.95,2.42,1075.27,396.53
116.6,0.96,2.46,1075.27,395.19
116.8,0.95,2.5,1075.27,390.09
117,0.96,2.55,1075.27,387.84
117.2,0.97,2.48,1045.94,394.95
117.4,0.95,2.43,1045.94,395.44
117.6,0.95,2.43,1045.94,395.44
117.8,0.94,2.43,1045.94,393.49
118,0.94,2.47,1036.17,390.27
118.2,0.97,2.47,1016.62,396.03
118.4,0.95,2.51,1016.62,389.04
118.6,0.96,2.5,1006.84,391.99
118.8,0.94,2.48,977.52,389.22
119,0.94,2.46,948.19,391.34
119.2,0.96,2.44,948.19,396.28
119.4,0.96,2.48,899.32,393.05
119.6,0.96,2.48,918.87,393.05
119.8,0.96,2.44,869.99,396.28
120,0.97,2.44,860.21,398.2
120.2,0.96,2.48,850.44,393.05
120.4,0.94,2.47,938.42,390.27
120.6,0.95,2.51,987.29,389.04
120.8,0.95,2.48,1026.39,391.14
121,0.96,2.48,1006.84,393.05
121.2,0.96,2.51,997.07,390.94
121.4,0.94,2.44,957.97,392.41
121.6,0.95,2.4,987.29,397.64
121.8,0.96,2.52,977.52,389.9
122,0.96,2.5,977.52,391.99
122.2,0.94,2.48,948.19,389.22
122.4,0.95,2.43,928.64,395.44
122.6,0.94,2.48,938.42,389.22
122.8,0.94,2.44,928.64,392.41
123,0.95,2.5,918.87,390.09
123.2,0.97,2.44,957.97,398.2
123.4,0.95,2.52,938.42,388
123.6,0.96,2.48,957.97,393.05
123.8,0.95,2.47,967.74,392.2
124,0.96,2.5,967.74,391.99
124.2,0.95,2.44,948.19,394.35
124.4,0.96,2.46,928.64,395.19
124.6,0.94,2.48,840.66,389.22
124.8,0.95,2.46,762.46,393.27
125,0.95,2.48,703.81,391.14
125.2,0.98,2.44,625.61,400.11
125.4,0.94,2.47,625.61,390.27
125.6,0.96,2.51,615.84,390.94
125.8,0.97,2.46,654.94,397.11
126,0.95,2.48,635.39,391.14
126.2,0.96,2.39,625.61,400.7
126.4,0.95,2.48,615.84,391.14
126.6,0.96,2.47,654.94,394.12
126.8,0.96,2.39,635.39,400.7
127,0.94,2.46,625.61,391.34
127.2,0.96,2.5,625.61,391.99
127.4,0.98,2.48,664.71,396.85
127.6,0.97,2.44,654.94,398.2
127.8,0.94,2.5,654.94,388.17
128,0.95,2.52,664.71,388
128.2,0.95,2.47,674.49,392.2
128.4,0.96,2.48,684.26,393.05
128.6,0.94,2.43,703.81,393.49
128.8,0.93,2.47,664.71,388.34
129,0.96,2.48,694.04,393.05
129.2,0.95,2.48,713.59,391.14
129.4,0.94,2.5,713.59,388.17
129.6,0.94,2.42,723.36,394.58
129.8,0.95,2.46,713.59,393.27
130,0.96,2.48,752.69,393.05
130.2,0.96,2.43,733.14,397.37
130.4,0.94,2.4,713.59,395.69
130.6,0.97,2.48,742.91,394.95
130.8,0.95,2.48,684.26,391.14
131,0.95,2.48,694.04,391.14
131.2,0.95,2.46,654.94,393.27
131.4,0.93,2.52,664.71,384.18
131.6,0.97,2.47,654.94,396.03
131.8,0.97,2.42,645.16,400.4
132,0.96,2.47,625.61,394.12
132.2,0.96,2.48,615.84,393.05
132.4,0.95,2.46,596.29,393.27
132.6,0.93,2.51,596.29,385.21
132.8,0.96,2.51,596.29,390.94
133,0.94,2.51,576.74,387.13
133.2,0.96,2.48,557.18,393.05
133.4,0.94,2.47,547.41,390.27
133.6,0.96,2.46,557.18,395.19
133.8,0.97,2.48,566.96,394.95
134,0.96,2.42,557.18,398.47
134.2,0.95,2.48,557.18,391.14
134.4,0.94,2.44,547.41,392.41
134.6,0.95,2.52,537.63,388
134.8,0.95,2.48,518.08,391.14
135,0.94,2.51,537.63,387.13
135.2,0.95,2.48,518.08,391.14
135.4,0.97,2.43,0,399.29
135.6,0.96,2.48,0,393.05
135.8,0.96,2.47,0,394.12
136,0.94,2.46,0,391.34
136.2,0.96,2.47,0,394.12
136.4,0.96,2.5,0,391.99
136.6,0.95,2.46,0,393.27
