=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.16 13:10:09 =~=~=~=~=~=~=~=~=~=~=~=
17461,0.99,2.50,0
1102,1.01,2.54,459.43,398.20
1104,0.98,2.48,439.88,396.85
1106,0.98,2.47,439.88,397.93
1108,0.98,2.47,459.43,397.93
1110,1.00,2.44,469.21,403.90
1112,1.00,2.47,430.11,401.70
1114,0.99,2.47,400.78,399.82
1116,0.97,2.47,439.88,396.03
1118,0.97,2.42,527.86,400.40
1120,1.00,2.47,478.98,401.70
1122,0.99,2.47,547.41,399.82
1124,1.00,2.42,469.21,406.14
1126,0.99,2.50,459.43,397.66
1128,0.99,2.50,478.98,397.66
1130,0.98,2.38,488.76,405.72
1132,1.00,2.50,606.06,399.53
1134,1.00,2.47,527.86,401.70
1136,1.00,2.38,518.08,409.56
1138,0.99,2.55,498.53,393.45
1140,1.00,2.47,488.76,401.70
1142,1.00,2.51,469.21,398.46
1144,1.00,2.48,469.21,400.61
1146,0.99,2.48,478.98,398.73
1148,0.99,2.47,459.43,399.82
1150,1.00,2.47,449.66,401.70
1152,1.00,2.42,430.11,406.14
1154,1.00,2.50,430.11,399.53
1156,1.01,2.48,430.11,402.48
1158,0.97,2.52,430.11,391.79
1160,0.98,2.46,410.56,399.01
1162,1.01,2.56,430.11,396.11
1164,1.00,2.46,439.88,402.79
1166,1.01,2.50,469.21,401.39
1168,1.00,2.46,469.21,402.79
1170,0.98,2.43,449.66,401.21
1172,0.99,2.46,469.21,400.91
1174,0.99,2.50,459.43,397.66
1176,0.99,2.50,469.21,397.66
1178,0.98,2.48,527.86,396.85
1180,1.00,2.47,694.04,401.70
1182,0.99,2.46,508.31,400.91
1184,0.97,2.48,508.31,394.95
1186,0.98,2.50,518.08,395.78
1188,0.99,2.48,508.31,398.73
1190,0.99,2.48,488.76,398.73
1192,0.99,2.47,518.08,399.82
1194,0.99,2.50,488.76,397.66
1196,0.99,2.46,488.76,400.91
1198,1.01,2.47,498.53,403.57
1200,0.99,2.55,645.16,393.45
1202,1.00,2.48,537.63,400.61
1204,0.99,2.48,498.53,398.73
1206,0.99,2.47,469.21,399.82
1208,0.98,2.42,498.53,402.32
