Time (sec),Feed (mm/min),Draw (m/min),Output Dia,Predicted Dia
113.2,2,4.32,303.03,409.87
113.4,2,4.32,322.58,409.87
113.6,1.99,4.32,332.36,408.92
113.8,2,4.32,312.81,409.87
114,2,4.32,312.81,409.87
114.2,2,4.32,303.03,409.87
114.4,2,4.32,312.81,409.87
114.6,1.99,4.32,273.7,408.92
114.8,1.99,4.32,283.48,408.92
115,2,4.32,312.81,409.87
115.2,2,4.32,283.48,409.87
115.4,1.99,4.32,303.03,408.92
115.6,2.01,4.32,312.81,410.82
115.8,2,4.32,303.03,409.87
116,2,4.22,303.03,415.09
116.2,2,4.22,303.03,415.09
116.4,2,4.22,293.26,415.09
116.6,1.99,4.22,312.81,414.12
116.8,2,4.22,322.58,415.09
117,1.99,4.22,312.81,414.12
117.2,2,4.22,312.81,415.09
117.4,2,4.22,293.26,415.09
117.6,1.99,4.22,293.26,414.12
117.8,2,4.22,273.7,415.09
118,2,4.22,293.26,415.09
118.2,1.99,4.22,293.26,414.12
118.4,1.99,4.22,303.03,414.12
118.6,2,4.22,303.03,415.09
118.8,1.99,4.22,312.81,414.12
119,2.01,4.22,303.03,416.06
119.2,2,4.22,312.81,415.09
119.4,2,4.22,303.03,415.09
119.6,1.99,4.22,342.13,414.12
119.8,1.99,4.22,322.58,414.12
120,1.99,4.22,312.81,414.12
120.2,1.99,4.22,312.81,414.12
120.4,2,4.11,303.03,420.52
120.6,2,4.11,322.58,420.52
120.8,2,4.11,322.58,420.52
121,2,4.11,312.81,420.52
121.2,2,4.11,303.03,420.52
121.4,2,4.11,303.03,420.52
121.6,2,4.11,303.03,420.52
121.8,1.99,4.11,303.03,419.54
122,1.99,4.11,322.58,419.54
122.2,2,4.11,303.03,420.52
122.4,2,4.11,303.03,420.52
122.6,2,4.11,283.48,420.52
122.8,2,4.11,283.48,420.52
123,1.99,4.11,283.48,419.54
123.2,2,4.11,293.26,420.52
123.4,2,4.11,283.48,420.52
123.6,1.99,4.11,312.81,419.54
123.8,1.99,4.11,303.03,419.54
124,2,4.11,322.58,420.52
124.2,1.99,4.11,322.58,419.54
124.4,2,4.11,312.81,420.52
124.6,2,4.11,312.81,420.52
124.8,2,4,303.03,426.16
125,2,4,312.81,426.16
125.2,2,4,312.81,426.16
125.4,1.99,4,303.03,425.17
125.6,1.99,4,303.03,425.17
125.8,1.99,4,303.03,425.17
126,2,4,312.81,426.16
126.2,1.99,4,312.81,425.17
126.4,2,4,312.81,426.16
126.6,2,4,303.03,426.16
126.8,2,4,293.26,426.16
127,2,4,312.81,426.16
127.2,1.99,4,322.58,425.17
127.4,1.99,4,303.03,425.17
127.6,1.99,4,293.26,425.17
127.8,1.99,4,312.81,425.17
128,2,4,293.26,426.16
128.2,2,4,293.26,426.16
128.4,2,4,312.81,426.16
128.6,1.99,4,312.81,425.17
128.8,2,4,303.03,426.16
129,2,4,303.03,426.16
129.2,2,3.89,303.03,432.04
129.4,2,3.89,254.15,432.04
129.6,2,3.89,263.93,432.04
129.8,2,3.89,303.03,432.04
130,1.99,3.89,303.03,431.03
130.2,1.99,3.89,312.81,431.03
130.4,1.99,3.89,312.81,431.03
130.6,2,3.89,312.81,432.04
130.8,1.99,3.89,273.7,431.03
131,2,3.89,283.48,432.04
131.2,1.99,3.89,283.48,431.03
131.4,2,3.89,293.26,432.04
131.6,2,3.89,293.26,432.04
131.8,2,3.89,303.03,432.04
132,2,3.89,303.03,432.04
132.2,2,3.89,293.26,432.04
132.4,2,3.89,293.26,432.04
132.6,2,3.89,312.81,432.04
132.8,2,3.89,283.48,432.04
133,1.99,3.89,293.26,431.03
133.2,2,3.78,293.26,438.17
133.4,1.99,3.78,293.26,437.15
133.6,2,3.78,283.48,438.17
133.8,2,3.78,273.7,438.17
134,2,3.78,273.7,438.17
134.2,2,3.78,283.48,438.17
134.4,2,3.78,283.48,438.17
134.6,1.99,3.78,303.03,437.15
134.8,2,3.78,293.26,438.17
135,1.99,3.78,283.48,437.15
135.2,2,3.78,283.48,438.17
135.4,2,3.78,303.03,438.17
135.6,1.99,3.78,293.26,437.15
135.8,2,3.78,293.26,438.17
136,2,3.78,293.26,438.17
136.2,2,3.78,293.26,438.17
136.4,2,3.78,273.7,438.17
136.6,2,3.78,263.93,438.17
136.8,2,3.78,273.7,438.17
137,2,3.68,273.7,444.57
137.2,1.99,3.68,293.26,443.53
137.4,2.01,3.68,283.48,445.6
137.6,2,3.68,273.7,444.57
137.8,2,3.68,283.48,444.57
138,2.01,3.68,293.26,445.6
138.2,1.99,3.68,303.03,443.53
138.4,1.99,3.68,322.58,443.53
138.6,1.99,3.68,303.03,443.53
138.8,2,3.68,283.48,444.57
139,2,3.68,283.48,444.57
139.2,2,3.68,293.26,444.57
139.4,2,3.68,283.48,444.57
139.6,1.99,3.68,273.7,443.53
139.8,1.99,3.68,283.48,443.53
140,1.98,3.68,303.03,442.49
140.2,1.99,3.68,293.26,443.53
140.4,2,3.68,293.26,444.57
140.6,1.99,3.57,293.26,450.2
140.8,2,3.57,303.03,451.25
141,2,3.57,293.26,451.25
141.2,2,3.57,293.26,451.25
141.4,1.99,3.57,303.03,450.2
141.6,1.99,3.57,303.03,450.2
141.8,1.99,3.57,293.26,450.2
142,2,3.57,303.03,451.25
142.2,1.99,3.57,283.48,450.2
142.4,2,3.57,263.93,451.25
142.6,2,3.57,263.93,451.25
142.8,2,3.57,263.93,451.25
143,2,3.57,254.15,451.25
143.2,2,3.57,254.15,451.25
143.4,2,3.57,263.93,451.25
143.6,2,3.57,283.48,451.25
143.8,2,3.57,293.26,451.25
144,2.01,3.57,312.81,452.3
144.2,2,3.46,303.03,458.25
144.4,2,3.46,303.03,458.25
144.6,2,3.46,312.81,458.25
144.8,2,3.46,303.03,458.25
145,1.99,3.46,293.26,457.18
145.2,1.99,3.46,303.03,457.18
145.4,1.99,3.46,303.03,457.18
145.6,1.99,3.46,312.81,457.18
145.8,1.99,3.46,303.03,457.18
146,2,3.46,303.03,458.25
146.2,2,3.46,312.81,458.25
146.4,2,3.46,312.81,458.25
146.6,2,3.46,322.58,458.25
146.8,1.99,3.46,332.36,457.18
147,2,3.46,322.58,458.25
147.2,1.99,3.46,332.36,457.18
147.4,1.99,3.46,322.58,457.18
147.6,2,3.46,332.36,458.25
147.8,2,3.46,312.81,458.25
148,2,3.35,342.13,465.58
148.2,2,3.35,322.58,465.58
148.4,1.99,3.35,342.13,464.5
148.6,1.99,3.35,351.91,464.5
148.8,1.99,3.35,351.91,464.5
149,2,3.35,361.68,465.58
149.2,2,3.35,351.91,465.58
149.4,2,3.35,342.13,465.58
149.6,2,3.35,351.91,465.58
149.8,2,3.35,342.13,465.58
150,1.99,3.35,342.13,464.5
150.2,1.99,3.35,342.13,464.5
150.4,2,3.35,351.91,465.58
150.6,1.99,3.35,342.13,464.5
150.8,2,3.35,342.13,465.58
151,1.99,3.35,332.36,464.5
151.2,1.99,3.35,342.13,464.5
151.4,1.99,3.35,351.91,464.5
151.6,1.99,3.35,351.91,464.5
151.8,1.99,3.35,351.91,464.5
152,1.99,3.35,361.68,464.5
152.2,2,3.35,381.23,465.58
152.4,2,3.35,332.36,465.58
152.6,2,3.35,351.91,465.58
152.8,2,3.35,351.91,465.58
153,1.99,3.35,371.46,464.5
153.2,2,3.35,351.91,465.58
153.4,1.99,3.35,361.68,464.5
153.6,1.99,3.35,351.91,464.5
153.8,2,3.35,351.91,465.58
154,2,3.35,351.91,465.58
154.2,1.99,3.24,351.91,472.17
154.4,2,3.24,351.91,473.28
154.6,2,3.24,361.68,473.28
154.8,1.99,3.24,361.68,472.17
155,2,3.24,371.46,473.28
155.2,2,3.24,361.68,473.28
155.4,2,3.24,351.91,473.28
155.6,2,3.24,342.13,473.28
155.8,2,3.24,361.68,473.28
156,2,3.24,351.91,473.28
156.2,1.99,3.24,361.68,472.17
156.4,1.99,3.24,371.46,472.17
156.6,1.99,3.24,381.23,472.17
