=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.13 10:56:26 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
Adafruit DS3502 Test,,,,,,,,,,,,,
Couldn't find DS3502 chip,,,,,,,,,,,,,
Found DS3502 chip,,,,,,,,,,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um),,,,,,,,,
484,0.99,2.47,469.21,399.82,,,,,,,,,
486,0.99,2.51,400.78,396.6,,,,,,,,,
488,0.99,2.5,381.23,397.66,,,,,,,,,
490,1.01,2.52,391.01,399.25,,,,,,,,,
492,0.98,2.5,420.33,395.78,,,,,,,,,
494,0.99,2.55,430.11,393.45,,,,,,,,,
496,0.99,2.51,430.11,396.6,,,,,,,,,
498,0.99,2.48,449.66,398.73,,,,,,,,,
500,1,2.52,420.33,397.4,,,,,,,,,
502,0.98,2.47,391.01,397.93,,,,,,,,,
504,1,2.51,391.01,398.46,,,,,,,,,
506,0.98,2.46,371.46,399.01,,,,,,,,,
508,0.98,2.48,351.91,396.85,,,,,,,,,
510,1,2.5,371.46,399.53,,,,,,,,,
512,0.99,2.51,351.91,396.6,,,,,,,,,
514,1,2.51,351.91,398.46,,,,,,,,,
516,0.99,2.54,361.68,394.49,,,,,,,,,
518,0.99,2.51,361.68,396.6,,,,,,,,,
520,0.99,2.52,371.46,395.54,,,,,,,,,
522,0.99,2.5,400.78,397.66,,,,,,,,,
524,0.98,2.46,391.01,399.01,,,,,,,,,
526,1.01,2.52,361.68,399.25,,,,,,,,,
528,1.01,2.54,410.56,400.04,,,,,,,,,
530,1,2.4,371.46,407.27,,,,,,,,,
532,1,2.51,381.23,398.46,,,,,,,,,
534,1,2.51,391.01,398.46,,,,,,,,,
536,1,2.51,351.91,398.46,,,,,,,,,
538,1,2.5,400.78,399.53,,,,,,,,,
540,0.99,2.51,410.56,396.6,,,,,,,,,
542,0.97,2.4,420.33,401.52,,,,,,,,,
544,0.99,2.5,420.33,397.66,,,,,,,,,
546,0.98,2.47,459.43,397.93,,,,,,,,,
548,1.01,2.54,410.56,398.2,,,,,,,,,
550,1.01,2.52,400.78,399.25,,,,,,,,,
552,0.99,2.48,410.56,398.73,,,,,,,,,
554,1,2.52,391.01,397.4,,,,,,,,,
556,1,2.51,351.91,398.46,,,,,,,,,
558,1,2.52,371.46,397.4,,,,,,,,,
560,1,2.52,391.01,397.4,,,,,,,,,
562,0.99,2.51,400.78,396.6,,,,,,,,,
564,0.98,2.48,391.01,396.85,,,,,,,,,
566,0.97,2.48,459.43,394.95,,,,,,,,,
568,0.99,2.48,439.88,398.73,,,,,,,,,
570,1.01,2.54,430.11,398.2,,,,,,,,,
572,1.01,2.48,420.33,402.48,,,,,,,,,
574,1,2.46,410.56,402.79,,,,,,,,,
576,1,2.51,381.23,398.46,,,,,,,,,
578,0.99,2.5,371.46,397.66,,,,,,,,,
580,1,2.52,351.91,397.4,,,,,,,,,
582,1,2.5,342.13,399.53,,,,,,,,,
584,0.99,2.58,361.68,391.4,,,,,,,,,
586,0.99,2.5,381.23,397.66,,,,,,,,,
588,0.98,2.46,381.23,399.01,,,,,,,,,
590,0.99,2.5,342.13,397.66,,,,,,,,,
592,0.99,2.5,351.91,397.66,,,,,,,,,
594,0.97,2.47,381.23,396.03,,,,,,,,,
596,1,2.51,351.91,398.46,,,,,,,,,
598,1,2.44,361.68,403.9,,,,,,,,,
600,0.99,2.51,371.46,396.6,,,,,,,,,
602,1,2.51,371.46,398.46,,,,,,,,,
604,0.98,2.51,410.56,394.72,,,,,,,,,
606,0.99,2.48,342.13,398.73,,,,,,,,,
608,1,2.44,342.13,403.9,,,,,,,,,
610,0.97,2.52,322.58,391.79,,,,,,,,,
612,0.99,2.5,351.91,397.66,,,,,,,,,
614,0.99,2.48,361.68,398.73,,,,,,,,,
616,1,2.5,351.91,399.53,,,,,,,,,
618,0.99,2.51,312.81,396.6,,,,,,,,,
620,0.99,2.47,351.91,399.82,,,,,,,,,
622,1,2.48,322.58,400.61,,,,,,,,,
624,1,2.54,322.58,396.35,,,,,,,,,
626,1,2.47,312.81,401.7,,,,,,,,,
628,1.01,2.54,342.13,398.2,,,,,,,,,
630,0.99,2.47,332.36,399.82,,,,,,,,,
632,0.99,2.51,332.36,396.6,,,,,,,,,
634,1,2.51,332.36,398.46,,,,,,,,,
636,1,2.48,342.13,400.61,,,,,,,,,
638,1,2.51,351.91,398.46,,,,,,,,,
640,1,2.5,342.13,399.53,,,,,,,,,
