# material: Micrometer_Test,,,,,
# geometry:,,,,,
# preform_diameter:,,,,,
# material_color:,,,,,
# temperature_C:,,,,,
# drawdown_ratio:,,,,,
# trial_number: 001,,,,,
# operator:Luka Morita,,,,,
# start_time: 2025-06-20 15:48:14,,,,,
# notes: Testing analog micrometer noise with known diameter (1.75mm filament),,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),
379,0.5,1.17,1759.53,415,
379.2,0.51,1.23,1749.76,407.29,
379.4,0.51,1.26,1749.76,402.93,
379.6,0.53,1.26,1749.76,410.19,
379.8,0.51,1.22,1739.98,409.52,
380,0.51,1.23,1749.76,407.29,
380.2,0.53,1.26,1759.53,410.19,
380.4,0.51,1.26,1759.53,402.93,
380.6,0.5,1.26,1759.53,399.25,
380.8,0.51,1.3,1739.98,396.65,
381,0.5,1.26,1749.76,399.25,
381.2,0.5,1.28,1739.98,397.15,
381.4,0.51,1.29,1749.76,398.71,
381.6,0.51,1.26,1759.53,402.93,
381.8,0.52,1.23,1730.21,410.98,
382,0.5,1.25,1739.98,401.39,
382.2,0.52,1.26,1759.53,406.58,
382.4,0.5,1.26,1749.76,399.25,
382.6,0.5,1.26,1749.76,399.25,
382.8,0.51,1.29,1749.76,398.71,
383,0.53,1.23,1759.53,414.63,
383.2,0.51,1.28,1739.98,400.81,
383.4,0.53,1.25,1749.76,412.39,
383.6,0.5,1.25,1739.98,401.39,
383.8,0.51,1.25,1749.76,405.09,
384,0.49,1.26,1749.76,395.54,
384.2,0.51,1.32,1749.76,394.62,
384.4,0.52,1.22,1749.76,413.23,
384.6,0.51,1.22,1730.21,409.52,
384.8,0.52,1.22,1739.98,413.23,
385,0.5,1.25,1730.21,401.39,
385.2,0.51,1.22,1749.76,409.52,
385.4,0.53,1.26,1759.53,410.19,
385.6,0.52,1.28,1759.53,404.43,
385.8,0.5,1.3,1749.76,393.03,
386,0.5,1.28,1759.53,397.15,
386.2,0.5,1.25,1749.76,401.39,
386.4,0.5,1.19,1749.76,410.32,
386.6,0.52,1.23,1739.98,410.98,
386.8,0.52,1.28,1749.76,404.43,
387,0.5,1.26,1730.21,399.25,
387.2,0.48,1.21,1749.76,400.4,
387.4,0.51,1.18,1759.53,416.44,
387.6,0.5,1.26,1759.53,399.25,
387.8,0.5,1.29,1749.76,395.07,
388,0.51,1.34,1739.98,390.66,
388.2,0.52,1.26,1749.76,406.58,
388.4,0.52,1.22,1749.76,413.23,
388.6,0.5,1.28,1739.98,397.15,
388.8,0.51,1.21,1759.53,411.79,
389,0.5,1.26,1739.98,399.25,
389.2,0.5,1.25,1759.53,401.39,
389.4,0.51,1.26,1749.76,402.93,
389.6,0.52,1.29,1739.98,402.32,
389.8,0.52,1.26,1749.76,406.58,
390,0.52,1.21,1769.31,415.52,
390.2,0.51,1.25,1749.76,405.09,
390.4,0.51,1.26,1749.76,402.93,
390.6,0.51,1.23,1739.98,407.29,
390.8,0.51,1.26,1749.76,402.93,
391,0.51,1.26,1749.76,402.93,
391.2,0.48,1.28,1749.76,389.72,
391.4,0.5,1.3,1749.76,393.03,
391.6,0.5,1.26,1720.43,399.25,
391.8,0.52,1.25,1749.76,408.76,
392,0.5,1.26,1720.43,399.25,
392.2,0.5,1.26,1769.31,399.25,
392.4,0.53,1.21,1739.98,419.21,
392.6,0.51,1.26,1759.53,402.93,
392.8,0.54,1.25,1739.98,416,
393,0.51,1.26,1759.53,402.93,
393.2,0.51,1.3,1749.76,396.65,
393.4,0.52,1.3,1749.76,400.24,
393.6,0.51,1.3,1759.53,396.65,
393.8,0.51,1.25,1739.98,405.09,
394,0.51,1.28,1759.53,400.81,
394.2,0.49,1.28,1759.53,393.45,
394.4,0.51,1.26,1749.76,402.93,
394.6,0.51,1.18,1749.76,416.44,
394.8,0.5,1.25,1720.43,401.39,
395,0.51,1.26,1749.76,402.93,
395.2,0.51,1.23,1769.31,407.29,
395.4,0.52,1.26,1759.53,406.58,
395.6,0.51,1.26,1749.76,402.93,
395.8,0.52,1.25,1759.53,408.76,
396,0.53,1.21,1759.53,419.21,
396.2,0.51,1.22,1749.76,409.52,
396.4,0.5,1.28,1730.21,397.15,
396.6,0.5,1.28,1739.98,397.15,
396.8,0.5,1.3,1730.21,393.03,
397,0.5,1.21,1749.76,408.03,
397.2,0.48,1.23,1749.76,396.03,
397.4,0.5,1.3,1739.98,393.03,
397.6,0.52,1.26,1749.76,406.58,
397.8,0.53,1.28,1739.98,408.03,
398,0.5,1.28,1759.53,397.15,
398.2,0.51,1.29,1759.53,398.71,
398.4,0.52,1.26,1749.76,406.58,
398.6,0.51,1.26,1749.76,402.93,
398.8,0.51,1.28,1739.98,400.81,
399,0.5,1.29,1730.21,395.07,
399.2,0.5,1.17,1739.98,415,
399.4,0.52,1.25,1739.98,408.76,
399.6,0.5,1.23,1739.98,403.57,
399.8,0.52,1.23,1749.76,410.98,
400,0.52,1.26,1739.98,406.58,
400.2,0.53,1.32,1759.53,401.74,
400.4,0.51,1.23,1759.53,407.29,
400.6,0.51,1.28,1739.98,400.81,
400.8,0.5,1.28,1739.98,397.15,
401,0.51,1.26,1769.31,402.93,
401.2,0.51,1.23,1759.53,407.29,
401.4,0.51,1.22,1769.31,409.52,
401.6,0.52,1.25,1730.21,408.76,
401.8,0.49,1.29,1739.98,391.4,
402,0.5,1.26,1759.53,399.25,
402.2,0.51,1.26,1730.21,402.93,
402.4,0.51,1.26,1769.31,402.93,
402.6,0.49,1.23,1759.53,399.82,
402.8,0.51,1.26,1739.98,402.93,
403,0.5,1.23,1749.76,403.57,
403.2,0.51,1.28,1749.76,400.81,
403.4,0.53,1.26,1749.76,410.19,
403.6,0.51,1.25,1769.31,405.09,
403.8,0.5,1.26,1749.76,399.25,
404,0.5,1.25,1749.76,401.39,
404.2,0.51,1.23,1730.21,407.29,
404.4,0.5,1.26,1739.98,399.25,
404.6,0.52,1.25,1759.53,408.76,
404.8,0.52,1.26,1769.31,406.58,
405,0.51,1.26,1749.76,402.93,
405.2,0.5,1.25,1749.76,401.39,
405.4,0.5,1.26,1730.21,399.25,
405.6,0.51,1.25,1749.76,405.09,
405.8,0.5,1.26,1730.21,399.25,
406,0.5,1.25,1769.31,401.39,
406.2,0.5,1.26,1739.98,399.25,
406.4,0.5,1.26,1739.98,399.25,
406.6,0.53,1.25,1739.98,412.39,
406.8,0.5,1.25,1739.98,401.39,
407,0.51,1.26,1739.98,402.93,
407.2,0.52,1.23,1759.53,410.98,
407.4,0.52,1.23,1749.76,410.98,
407.6,0.51,1.26,1739.98,402.93,
407.8,0.5,1.22,1759.53,405.78,
408,0.5,1.21,1749.76,408.03,
408.2,0.52,1.25,1759.53,408.76,
408.4,0.5,1.25,1759.53,401.39,
408.6,0.51,1.21,1749.76,411.79,
408.8,0.5,1.26,1749.76,399.25,
409,0.49,1.23,1730.21,399.82,
409.2,0.51,1.18,1739.98,416.44,
409.4,0.52,1.26,1749.76,406.58,
409.6,0.52,1.25,1749.76,408.76,
409.8,0.52,1.26,1749.76,406.58,
410,0.5,1.29,1759.53,395.07,
410.2,0.5,1.25,1749.76,401.39,
410.4,0.5,1.28,1739.98,397.15,
410.6,0.5,1.25,1739.98,401.39,
410.8,0.5,1.26,1759.53,399.25,
411,0.49,1.28,1720.43,393.45,
411.2,0.51,1.23,1739.98,407.29,
411.4,0.51,1.26,1759.53,402.93,
411.6,0.49,1.25,1739.98,397.66,
411.8,0.51,1.26,1739.98,402.93,
412,0.51,1.26,1749.76,402.93,
412.2,0.52,1.26,1759.53,406.58,
412.4,0.51,1.28,1739.98,400.81,
412.6,0.51,1.3,1749.76,396.65,
412.8,0.51,1.23,1769.31,407.29,
413,0.51,1.25,1739.98,405.09,
413.2,0.52,1.22,1749.76,413.23,
413.4,0.51,1.22,1749.76,409.52,
413.6,0.48,1.23,1749.76,396.03,
413.8,0.52,1.23,1779.08,410.98,
414,0.51,1.23,1759.53,407.29,
414.2,0.51,1.26,1749.76,402.93,
414.4,0.51,1.25,1749.76,405.09,
414.6,0.52,1.26,1739.98,406.58,
414.8,0.51,1.26,1759.53,402.93,
415,0.51,1.3,1739.98,396.65,
415.2,0.51,1.28,1720.43,400.81,
415.4,0.51,1.26,1749.76,402.93,
415.6,0.5,1.26,1749.76,399.25,
415.8,0.49,1.36,1739.98,381.59,
416,0.5,1.36,1739.98,385.17,
416.2,0.48,1.25,1739.98,393.89,
416.4,0.54,1.29,1739.98,409.44,
416.6,0.51,1.28,1720.43,400.81,
416.8,0.52,1.28,1749.76,404.43,
417,0.51,1.26,1749.76,402.93,
417.2,0.53,1.26,1759.53,410.19,
417.4,0.51,1.28,1749.76,400.81,
417.6,0.52,1.26,1749.76,406.58,
417.8,0.51,1.25,1739.98,405.09,
418,0.54,1.25,1739.98,416,
418.2,0.5,1.25,1730.21,401.39,
418.4,0.52,1.23,1749.76,410.98,
418.6,0.51,1.29,1749.76,398.71,
418.8,0.52,1.26,1759.53,406.58,
419,0.51,1.26,1739.98,402.93,
419.2,0.52,1.29,1739.98,402.32,
419.4,0.51,1.25,1769.31,405.09,
419.6,0.5,1.25,1739.98,401.39,
419.8,0.51,1.26,1739.98,402.93,
420,0.53,1.29,1739.98,405.9,
420.2,0.5,1.23,1749.76,403.57,
420.4,0.48,1.26,1739.98,391.79,
420.6,0.51,1.25,1739.98,405.09,
420.8,0.5,1.23,1749.76,403.57,
421,0.52,1.26,1730.21,406.58,
421.2,0.52,1.19,1749.76,417.84,
421.4,0.53,1.28,1749.76,408.03,
421.6,0.5,1.25,1759.53,401.39,
421.8,0.52,1.3,1749.76,400.24,
422,0.52,1.25,1769.31,408.76,
422.2,0.5,1.23,1749.76,403.57,
422.4,0.51,1.3,1749.76,396.65,
422.6,0.5,1.26,1759.53,399.25,
422.8,0.52,1.25,1739.98,408.76,
423,0.49,1.25,1720.43,397.66,
423.2,0.51,1.26,1730.21,402.93,
423.4,0.52,1.22,1759.53,413.23,
423.6,0.51,1.25,1759.53,405.09,
423.8,0.51,1.28,1749.76,400.81,
424,0.5,1.28,1749.76,397.15,
424.2,0.51,1.28,1739.98,400.81,
424.4,0.5,1.19,1759.53,410.32,
424.6,0.48,1.26,1749.76,391.79,
424.8,0.51,1.26,1749.76,402.93,
425,0.52,1.25,1759.53,408.76,
425.2,0.5,1.25,1749.76,401.39,
425.4,0.5,1.22,1759.53,405.78,
425.6,0.5,1.26,1759.53,399.25,
425.8,0.52,1.23,1739.98,410.98,
426,0.5,1.3,1739.98,393.03,
426.2,0.51,1.25,1730.21,405.09,
426.4,0.49,1.28,1749.76,393.45,
426.6,0.51,1.28,1739.98,400.81,
426.8,0.53,1.26,1749.76,410.19,
427,0.52,1.36,1749.76,392.24,
427.2,0.51,1.28,1749.76,400.81,
427.4,0.51,1.26,1739.98,402.93,
427.6,0.5,1.25,1759.53,401.39,
427.8,0.5,1.25,1759.53,401.39,
428,0.5,1.25,1759.53,401.39,
428.2,0.5,1.26,1749.76,399.25,
