# material: PETG,,,,,,,,,,,,,,,,
# geometry: oct,,,,,,,,,,,,,,,,
# preform_diameter: 20.0,,,,,,,,,,,,,,,,
# material_color: black,,,,,,,,,,,,,,,,
# temperature_C: 160.0,,,,,,,,,,,,,,,,
# drawdown_ratio: 50.0,,,,,,,,,,,,,,,,
# trial_number: 011,,,,,,,,,,,,,,,,
# operator: Kevin Liu,,,,,,,,,,,,,,,,
# start_time: 2025-07-31 13:48:20,,,,,,,,,,,,,,,,
# notes: PI control system active. Horizontally printed preform 0 deg raster. 010 glitched,,,,,,,,,,,,,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),,,,,,,,,,,,
73.1,1.99,5.51,459.43,362.14,,,,,,,,,,,,
73.3,1.97,5.51,488.76,360.45,,,,,,,,,,,,
73.5,1.99,5.51,469.21,362.14,,,,,,,,,,,,
73.7,1.98,5.51,508.31,361.29,,,,,,,,,,,,
73.9,1.99,5.51,498.53,362.14,,,,,,,,,,,,
74.1,1.99,5.51,498.53,362.14,,,,,,,,,,,,
74.3,1.99,5.51,469.21,362.14,,,,,,,,,,,,
74.5,1.99,5.51,459.43,362.14,,,,,,,,,,,,
74.7,1.99,5.51,439.88,362.14,,,,,,,,,,,,
74.9,1.98,5.51,459.43,361.29,,,,,,,,,,,,
75.1,1.99,5.51,430.11,362.14,,,,,,,,,,,,
75.3,1.98,5.51,459.43,361.29,,,,,,,,,,,,
75.5,1.99,5.51,449.66,362.14,,,,,,,,,,,,
75.7,1.97,5.51,459.43,360.45,,,,,,,,,,,,
75.9,1.99,5.51,439.88,362.14,,,,,,,,,,,,
76.1,1.99,5.51,449.66,362.14,,,,,,,,,,,,
76.3,1.99,5.51,449.66,362.14,,,,,,,,,,,,
76.5,1.97,5.51,459.43,360.45,,,,,,,,,,,,
76.7,1.98,5.51,439.88,361.29,,,,,,,,,,,,
76.9,1.98,5.62,459.43,357.8,,,,,,,,,,,,
77.1,1.99,5.62,439.88,358.64,,,,,,,,,,,,
77.3,1.99,5.62,459.43,358.64,,,,,,,,,,,,
77.5,1.99,5.62,439.88,358.64,,,,,,,,,,,,
77.7,1.99,5.62,459.43,358.64,,,,,,,,,,,,
77.9,1.98,5.62,478.98,357.8,,,,,,,,,,,,
78.1,1.97,5.62,488.76,356.96,,,,,,,,,,,,
78.3,1.99,5.62,449.66,358.64,,,,,,,,,,,,
78.5,1.98,5.62,469.21,357.8,,,,,,,,,,,,
78.7,1.99,5.62,469.21,358.64,,,,,,,,,,,,
78.9,1.98,5.62,488.76,357.8,,,,,,,,,,,,
79.1,1.99,5.62,449.66,358.64,,,,,,,,,,,,
79.3,1.98,5.62,459.43,357.8,,,,,,,,,,,,
79.5,1.99,5.62,459.43,358.64,,,,,,,,,,,,
79.7,1.98,5.62,449.66,357.8,,,,,,,,,,,,
79.9,1.98,5.62,430.11,357.8,,,,,,,,,,,,
80.1,1.97,5.62,439.88,356.96,,,,,,,,,,,,
80.3,1.99,5.62,430.11,358.64,,,,,,,,,,,,
80.5,1.98,5.62,469.21,357.8,,,,,,,,,,,,
80.7,1.99,5.62,478.98,358.64,,,,,,,,,,,,
80.9,1.98,5.62,488.76,357.8,,,,,,,,,,,,
81.1,1.99,5.62,459.43,358.64,,,,,,,,,,,,
81.3,1.98,5.62,478.98,357.8,,,,,,,,,,,,
81.5,1.98,5.62,459.43,357.8,,,,,,,,,,,,
81.7,1.99,5.62,469.21,358.64,,,,,,,,,,,,
81.9,1.98,5.62,449.66,357.8,,,,,,,,,,,,
82.1,1.98,5.62,459.43,357.8,,,,,,,,,,,,
82.3,1.99,5.73,439.88,355.24,,,,,,,,,,,,
82.5,1.98,5.73,469.21,354.41,,,,,,,,,,,,
82.7,1.99,5.73,459.43,355.24,,,,,,,,,,,,
82.9,1.97,5.73,488.76,353.58,,,,,,,,,,,,
83.1,1.99,5.73,449.66,355.24,,,,,,,,,,,,
